Subject,Block,Trial,Direction,Velocity,Blink,BlinkDuration,ResponseError
292,1,21,1,240,0,0,23.799
292,1,22,1,180,1,82,7.2416
292,1,23,1,180,0,0,-3.7411
292,1,24,1,180,1,116,8.4941
292,1,25,-1,240,1,77,2.8099
292,1,26,-1,240,0,0,28.973
292,1,27,-1,240,0,0,-6.6611
292,1,28,1,240,0,0,-9.5302
292,1,29,-1,180,1,0,24.311
292,1,30,1,240,0,0,-6.6821
292,1,31,1,180,0,0,7.1357
292,1,32,-1,180,0,0,-9.393
292,1,33,-1,180,0,0,11.967
292,1,34,1,180,1,72,-27.96
292,1,35,-1,240,0,0,8.1082
292,1,36,-1,240,0,0,6.4377
292,1,37,1,180,1,88,11.384
292,1,38,-1,180,1,0,-2.4825
292,1,39,1,240,1,74,4.5093
292,1,40,-1,180,0,0,1.3211
292,1,41,1,180,1,0,20.144
292,1,42,-1,180,0,0,1.3953
292,1,43,1,180,1,96,31.787
292,1,44,1,180,0,0,-3.6325
292,1,45,-1,180,0,0,-8.8213
292,1,46,-1,180,0,0,7.938
292,1,47,1,240,0,0,32.126
292,1,48,1,180,1,132,70.67
292,1,49,-1,180,1,0,-19.233
292,1,50,1,240,1,68,35.546
292,1,51,1,180,0,0,26.537
292,1,52,-1,240,0,0,1.6338
292,1,53,1,240,1,100,12.034
292,1,54,1,240,0,0,31.272
292,1,55,-1,180,1,0,9.6481
292,1,56,-1,180,0,0,-8.2843
292,1,57,1,180,1,0,14.279
292,1,58,1,240,0,0,18.228
292,1,59,1,240,0,0,5.4636
292,1,60,1,180,0,0,-1.377
292,1,61,1,240,0,0,-22.266
292,1,62,1,240,0,0,-10.107
292,1,63,1,180,1,122,159.32
292,1,64,1,180,0,0,-6.7144
292,1,65,-1,180,1,86,-0.27336
292,1,66,-1,240,1,0,14.191
292,1,67,1,180,0,0,6.2291
292,1,68,1,180,1,100,13.21
292,1,69,-1,180,1,0,-3.8362
292,1,70,1,240,1,0,6.6498
292,1,71,1,240,1,0,37.835
292,1,72,-1,180,0,0,-5.1243
